"t","condition","iv","wdv","wdvb"
1,"Fruit",15,109.456056628451,93.9382212380731
2,"Fruit",15,154.175855002349,118.888675259882
3,"Fruit",15,151.097410543709,134.658488544984
4,"Fruit",15,124.743082246466,119.370504388922
5,"Fruit",15,125.120623258336,109.389425858088
6,"Fruit",15,140.073786952869,136.335466534119
7,"Fruit",15,110.16621715734,111.415430994621
8,"Fruit",15,185.240451688035,171.705515486092
9,"Fruit",15,140.252687191532,114.325741035943
10,"Fruit",15,135.607917023983,119.623864605455
1,"Veggie",5,93.9382212380731,109.456056628451
2,"Veggie",5,118.888675259882,154.175855002349
3,"Veggie",5,134.658488544984,151.097410543709
4,"Veggie",5,119.370504388922,124.743082246466
5,"Veggie",5,109.389425858088,125.120623258336
6,"Veggie",5,136.335466534119,140.073786952869
7,"Veggie",5,111.415430994621,110.16621715734
8,"Veggie",5,171.705515486092,185.240451688035
9,"Veggie",5,114.325741035943,140.252687191532
10,"Veggie",5,119.623864605455,135.607917023983
