"t","condition","iv","dv","dvb"
1,"Fruit",15,133.335921435749,121.758990780795
2,"Fruit",15,129.146184892893,131.603402765133
3,"Fruit",15,149.018892716465,136.536409519131
4,"Fruit",15,117.623257547649,142.899029338665
5,"Fruit",15,128.047283864082,124.530657159974
6,"Fruit",15,142.560054315426,120.516523516986
7,"Fruit",15,126.583880281129,108.127232043033
8,"Fruit",15,135.00367578748,143.233417263359
9,"Fruit",15,136.957060900161,121.408110273736
10,"Fruit",15,125.844566216028,121.639382263382
1,"Veggie",5,121.758990780795,133.335921435749
2,"Veggie",5,131.603402765133,129.146184892893
3,"Veggie",5,136.536409519131,149.018892716465
4,"Veggie",5,142.899029338665,117.623257547649
5,"Veggie",5,124.530657159974,128.047283864082
6,"Veggie",5,120.516523516986,142.560054315426
7,"Veggie",5,108.127232043033,126.583880281129
8,"Veggie",5,143.233417263359,135.00367578748
9,"Veggie",5,121.408110273736,136.957060900161
10,"Veggie",5,121.639382263382,125.844566216028
