"t","condition","iv","dv","dvb"
1,"Fruit",15,120.753105004361,135.613255539071
2,"Fruit",15,144.775554935488,136.177134258677
3,"Fruit",15,137.776928120113,121.322257307498
4,"Fruit",15,137.300451168286,113.774994744041
5,"Fruit",15,139.854874751716,121.754657770262
6,"Fruit",15,145.964465470448,128.509944179088
7,"Fruit",15,114.834654487526,119.484796980917
8,"Fruit",15,108.956337024815,115.291125726439
9,"Fruit",15,133.008631702277,134.848375754489
10,"Fruit",15,152.454581004895,106.573390867334
1,"Veggie",5,135.613255539071,120.753105004361
2,"Veggie",5,136.177134258677,144.775554935488
3,"Veggie",5,121.322257307498,137.776928120113
4,"Veggie",5,113.774994744041,137.300451168286
5,"Veggie",5,121.754657770262,139.854874751716
6,"Veggie",5,128.509944179088,145.964465470448
7,"Veggie",5,119.484796980917,114.834654487526
8,"Veggie",5,115.291125726439,108.956337024815
9,"Veggie",5,134.848375754489,133.008631702277
10,"Veggie",5,106.573390867334,152.454581004895
