"t","condition","iv","dv","dvb"
1,"Fruit",15,136.287019806257,111.253939616845
2,"Fruit",15,139.157014245528,138.637181694978
3,"Fruit",15,134.085504337207,130.089719402841
4,"Fruit",15,139.2295162517,136.318457017851
5,"Fruit",15,113.678799229288,118.13848263472
6,"Fruit",15,157.066457130211,114.367108686109
7,"Fruit",15,127.028764308729,145.934545160332
8,"Fruit",15,131.766593851373,126.945694158039
9,"Fruit",15,124.777808180326,112.283444243948
10,"Fruit",15,140.10661362644,122.672342993933
1,"Veggie",5,111.253939616845,136.287019806257
2,"Veggie",5,138.637181694978,139.157014245528
3,"Veggie",5,130.089719402841,134.085504337207
4,"Veggie",5,136.318457017851,139.2295162517
5,"Veggie",5,118.13848263472,113.678799229288
6,"Veggie",5,114.367108686109,157.066457130211
7,"Veggie",5,145.934545160332,127.028764308729
8,"Veggie",5,126.945694158039,131.766593851373
9,"Veggie",5,112.283444243948,124.777808180326
10,"Veggie",5,122.672342993933,140.10661362644
