"t","condition","iv","dv","measure"
1,"Fruit",15,180.287523737386,"???"
2,"Fruit",15,209.899935603434,"???"
3,"Fruit",15,198.870934712935,"???"
4,"Fruit",15,192.319062277057,"???"
5,"Fruit",15,212.131671120885,"???"
6,"Fruit",15,180.084013410453,"???"
7,"Fruit",15,200.371021916589,"???"
8,"Fruit",15,170.575425691941,"???"
9,"Fruit",15,186.28549234552,"???"
10,"Fruit",15,224.144474180794,"???"
1,"Veggie",5,163.115882373214,"???"
2,"Veggie",5,196.299138811242,"???"
3,"Veggie",5,191.723869039093,"???"
4,"Veggie",5,190.45606354798,"???"
5,"Veggie",5,189.798704853965,"???"
6,"Veggie",5,162.912372046281,"???"
7,"Veggie",5,186.770225124397,"???"
8,"Veggie",5,163.4283600181,"???"
9,"Veggie",5,184.422493616443,"???"
10,"Veggie",5,201.811507913873,"???"
