"t","condition","iv","dv","dvb"
1,"Fruit",15,225.638900500747,196.378127515818
2,"Fruit",15,192.17001730987,179.950211666573
3,"Fruit",15,177.769815169094,162.485880622312
4,"Fruit",15,186.894173392514,183.38773105263
5,"Fruit",15,194.854738198392,186.385658154415
6,"Fruit",15,168.874080544819,162.909244324941
7,"Fruit",15,190.118084007018,184.686865857947
8,"Fruit",15,201.565916879676,180.505973470008
9,"Fruit",15,191.457342552447,175.397834312978
10,"Fruit",15,185.759711908746,176.277083827186
1,"Veggie",5,196.378127515818,225.638900500747
2,"Veggie",5,179.950211666573,190.118084007018
3,"Veggie",5,162.485880622312,168.874080544819
4,"Veggie",5,183.38773105263,185.759711908746
5,"Veggie",5,186.385658154415,201.565916879676
6,"Veggie",5,162.909244324941,192.17001730987
7,"Veggie",5,184.686865857947,194.854738198392
8,"Veggie",5,180.505973470008,186.894173392514
9,"Veggie",5,175.397834312978,177.769815169094
10,"Veggie",5,176.277083827186,191.457342552447
