"t","condition","iv","wdv","wdvb"
1,"Fruit",15,148.629874162617,146.466201581575
2,"Fruit",15,169.708188465175,153.430741718957
3,"Fruit",15,132.475892919836,120.789518525056
4,"Fruit",15,103.088353735366,102.028693991881
5,"Fruit",15,134.014702866663,118.468909468639
6,"Fruit",15,155.409452216824,137.954930925464
7,"Fruit",15,146.615354152394,121.324596197824
8,"Fruit",15,93.1651472498291,99.4999359514531
9,"Fruit",15,149.985519913464,144.979020916236
10,"Fruit",15,102.587097987759,88.407383850732
1,"Veggie",5,146.466201581575,148.629874162617
2,"Veggie",5,153.430741718957,169.708188465175
3,"Veggie",5,120.789518525056,132.475892919836
4,"Veggie",5,102.028693991881,103.088353735366
5,"Veggie",5,118.468909468639,134.014702866663
6,"Veggie",5,137.954930925464,155.409452216824
7,"Veggie",5,121.324596197824,146.615354152394
8,"Veggie",5,99.4999359514531,93.1651472498291
9,"Veggie",5,144.979020916236,149.985519913464
10,"Veggie",5,88.407383850732,102.587097987759
