"t","condition","iv","wdv","wdvb"
1,"Fruit",15,146.816158847351,129.812137071375
2,"Fruit",15,115.750355519763,107.741869091346
3,"Fruit",15,152.924277737177,153.101399288198
4,"Fruit",15,105.647791418966,98.3318653610414
5,"Fruit",15,114.616203298834,100.742189592218
6,"Fruit",15,149.138138843225,135.883765456778
7,"Fruit",15,121.393153855433,119.267551580252
8,"Fruit",15,136.980835543156,117.911387595028
9,"Fruit",15,141.651217414191,130.144749201809
10,"Fruit",15,152.940744874591,146.848240688083
1,"Veggie",5,129.812137071375,146.816158847351
2,"Veggie",5,107.741869091346,115.750355519763
3,"Veggie",5,153.101399288198,152.924277737177
4,"Veggie",5,98.3318653610414,105.647791418966
5,"Veggie",5,100.742189592218,114.616203298834
6,"Veggie",5,135.883765456778,149.138138843225
7,"Veggie",5,119.267551580252,121.393153855433
8,"Veggie",5,117.911387595028,136.980835543156
9,"Veggie",5,130.144749201809,141.651217414191
10,"Veggie",5,146.848240688083,152.940744874591
