"t","condition","iv","wdv","wdvb"
1,"Fruit",15,158.759827993703,116.384132193388
2,"Fruit",15,166.410394060108,155.860854708413
3,"Fruit",15,169.277151745695,160.318785986761
4,"Fruit",15,146.577804654737,125.726833784071
5,"Fruit",15,161.949648653398,142.779243994802
6,"Fruit",15,131.375233008207,118.656535028597
7,"Fruit",15,145.036832436365,143.623113704044
8,"Fruit",15,145.369393912223,136.015591312163
9,"Fruit",15,154.582908667597,132.248877817807
10,"Fruit",15,128.823764152021,125.768307207908
1,"Veggie",5,116.384132193388,158.759827993703
2,"Veggie",5,155.860854708413,166.410394060108
3,"Veggie",5,160.318785986761,169.277151745695
4,"Veggie",5,125.726833784071,146.577804654737
5,"Veggie",5,142.779243994802,161.949648653398
6,"Veggie",5,118.656535028597,131.375233008207
7,"Veggie",5,143.623113704044,145.036832436365
8,"Veggie",5,136.015591312163,145.369393912223
9,"Veggie",5,132.248877817807,154.582908667597
10,"Veggie",5,125.768307207908,128.823764152021
