"t","condition","iv","dv","dvb"
1,"Fruit",15,133.416437569869,109.527366301
2,"Fruit",15,140.1548203452,126.025118461145
3,"Fruit",15,156.047214233875,138.741334723235
4,"Fruit",15,139.132573979309,118.636555829364
5,"Fruit",15,148.815590553817,135.900636056162
6,"Fruit",15,148.479766296122,132.059195043495
7,"Fruit",15,157.100275223044,133.73659464483
8,"Fruit",15,121.475819603542,118.126885538066
9,"Fruit",15,139.021406974963,126.066942609275
10,"Fruit",15,122.308689670676,113.532370184314
1,"Veggie",5,109.527366301,133.416437569869
2,"Veggie",5,126.025118461145,140.1548203452
3,"Veggie",5,138.741334723235,156.047214233875
4,"Veggie",5,118.636555829364,139.132573979309
5,"Veggie",5,135.900636056162,148.815590553817
6,"Veggie",5,132.059195043495,148.479766296122
7,"Veggie",5,133.73659464483,157.100275223044
8,"Veggie",5,118.126885538066,121.475819603542
9,"Veggie",5,126.066942609275,139.021406974963
10,"Veggie",5,113.532370184314,122.308689670676
