"t","condition","iv","dv","dvb"
1,"Fruit",15,119.658340438653,111.469317967173
2,"Fruit",15,171.549615189278,145.17342582099
3,"Fruit",15,137.365361150108,130.587387388056
4,"Fruit",15,132.031920393201,117.281766667053
5,"Fruit",15,128.171469584192,114.441949744781
6,"Fruit",15,149.568343120911,151.182754134127
7,"Fruit",15,128.592534788637,123.835291875421
8,"Fruit",15,130.134749040044,119.546688659512
9,"Fruit",15,135.311719273441,140.847684525718
10,"Fruit",15,136.105634177296,124.498080229475
1,"Veggie",5,111.469317967173,119.658340438653
2,"Veggie",5,145.17342582099,171.549615189278
3,"Veggie",5,130.587387388056,137.365361150108
4,"Veggie",5,117.281766667053,132.031920393201
5,"Veggie",5,114.441949744781,128.171469584192
6,"Veggie",5,151.182754134127,149.568343120911
7,"Veggie",5,123.835291875421,128.592534788637
8,"Veggie",5,119.546688659512,130.134749040044
9,"Veggie",5,140.847684525718,135.311719273441
10,"Veggie",5,124.498080229475,136.105634177296
