"t","condition","iv","wdv","wdvb"
1,"Fruit",15,131.870488729901,123.665611937384
2,"Fruit",15,163.615696964036,160.251840102283
3,"Fruit",15,128.895451858318,110.605098044832
4,"Fruit",15,139.904754899862,127.445919104199
5,"Fruit",15,160.328328250459,151.053882892468
6,"Fruit",15,135.049890982203,123.028366790634
7,"Fruit",15,123.263274618167,123.479678092257
8,"Fruit",15,148.312924257962,137.161470340958
9,"Fruit",15,137.245841621588,125.458894663802
10,"Fruit",15,136.386050293572,117.932780507007
1,"Veggie",5,123.665611937384,131.870488729901
2,"Veggie",5,160.251840102283,163.615696964036
3,"Veggie",5,110.605098044832,128.895451858318
4,"Veggie",5,127.445919104199,139.904754899862
5,"Veggie",5,151.053882892468,160.328328250459
6,"Veggie",5,123.028366790634,135.049890982203
7,"Veggie",5,123.479678092257,123.263274618167
8,"Veggie",5,137.161470340958,148.312924257962
9,"Veggie",5,125.458894663802,137.245841621588
10,"Veggie",5,117.932780507007,136.386050293572
