"t","condition","iv","dv","dvb"
1,"Fruit",15,149.598593737296,125.255238505227
2,"Fruit",15,133.068496350393,133.896505552404
3,"Fruit",15,116.557363659547,121.708106160383
4,"Fruit",15,131.011272784721,128.628375615817
5,"Fruit",15,124.89440844742,117.974818198835
6,"Fruit",15,146.164962284556,123.361144793339
7,"Fruit",15,136.602425805897,114.968695854857
8,"Fruit",15,144.641213969,136.537907300392
9,"Fruit",15,158.67161811368,146.130078681139
10,"Fruit",15,155.217233184804,138.940544966568
1,"Veggie",5,125.255238505227,149.598593737296
2,"Veggie",5,133.896505552404,133.068496350393
3,"Veggie",5,121.708106160383,116.557363659547
4,"Veggie",5,128.628375615817,131.011272784721
5,"Veggie",5,117.974818198835,124.89440844742
6,"Veggie",5,123.361144793339,146.164962284556
7,"Veggie",5,114.968695854857,136.602425805897
8,"Veggie",5,136.537907300392,144.641213969
9,"Veggie",5,146.130078681139,158.67161811368
10,"Veggie",5,138.940544966568,155.217233184804
