"t","condition","iv","dv","dvb"
1,"Fruit",15,135.448413722104,127.808969492166
2,"Fruit",15,139.011050331446,125.077989873337
3,"Fruit",15,136.520146458514,123.292984515063
4,"Fruit",15,134.894174611533,119.476925397774
5,"Fruit",15,110.047937872916,103.315825579857
6,"Fruit",15,155.429450729781,140.005736774275
7,"Fruit",15,159.741372437257,144.142493809378
8,"Fruit",15,121.403630233521,122.938006310438
9,"Fruit",15,130.860429811889,120.629052392845
10,"Fruit",15,133.925142474506,136.59860763918
1,"Veggie",5,127.808969492166,135.448413722104
2,"Veggie",5,125.077989873337,139.011050331446
3,"Veggie",5,123.292984515063,136.520146458514
4,"Veggie",5,119.476925397774,134.894174611533
5,"Veggie",5,103.315825579857,110.047937872916
6,"Veggie",5,140.005736774275,155.429450729781
7,"Veggie",5,144.142493809378,159.741372437257
8,"Veggie",5,122.938006310438,121.403630233521
9,"Veggie",5,120.629052392845,130.860429811889
10,"Veggie",5,136.59860763918,133.925142474506
