"t","condition","iv","dv","dvb"
1,"Fruit",15,194.585122310074,181.899188234612
2,"Fruit",15,174.063181841175,178.955486077273
3,"Fruit",15,190.206471437171,176.021982575418
4,"Fruit",15,197.195567888091,156.045103665234
5,"Fruit",15,192.272532608081,189.456618073481
6,"Fruit",15,180.245593815985,167.912916239746
7,"Fruit",15,178.014811944282,164.697765413473
8,"Fruit",15,180.708139034886,182.204394550228
9,"Fruit",15,175.232995118377,161.520247581743
10,"Fruit",15,176.220199442305,186.846172495464
1,"Veggie",5,181.899188234612,194.585122310074
2,"Veggie",5,178.955486077273,174.063181841175
3,"Veggie",5,176.021982575418,190.206471437171
4,"Veggie",5,156.045103665234,197.195567888091
5,"Veggie",5,189.456618073481,192.272532608081
6,"Veggie",5,167.912916239746,180.245593815985
7,"Veggie",5,164.697765413473,178.014811944282
8,"Veggie",5,182.204394550228,180.708139034886
9,"Veggie",5,161.520247581743,175.232995118377
10,"Veggie",5,186.846172495464,176.220199442305
