"t","condition","iv","wdv","wdvb"
1,"Fruit",15,114.273175800836,97.1972325990223
2,"Fruit",15,139.058454831841,141.268400110859
3,"Fruit",15,152.104767391081,135.784967763479
4,"Fruit",15,158.212166183129,151.748275449083
5,"Fruit",15,136.695616927087,122.184564564736
6,"Fruit",15,113.95715051718,105.055082150893
7,"Fruit",15,158.179378534144,147.739884585808
8,"Fruit",15,129.233308589025,116.556518494709
9,"Fruit",15,138.258365810312,121.684389378744
10,"Fruit",15,150.554742511833,128.773494483652
1,"Veggie",5,97.1972325990223,114.273175800836
2,"Veggie",5,141.268400110859,139.058454831841
3,"Veggie",5,135.784967763479,152.104767391081
4,"Veggie",5,151.748275449083,158.212166183129
5,"Veggie",5,122.184564564736,136.695616927087
6,"Veggie",5,105.055082150893,113.95715051718
7,"Veggie",5,147.739884585808,158.179378534144
8,"Veggie",5,116.556518494709,129.233308589025
9,"Veggie",5,121.684389378744,138.258365810312
10,"Veggie",5,128.773494483652,150.554742511833
