"t","condition","iv","dv","dvb"
1,"Fruit",15,149.642435286086,135.502620412205
2,"Fruit",15,140.427285304241,127.638170257572
3,"Fruit",15,139.921087186034,133.816665944426
4,"Fruit",15,128.390069621375,126.076109072761
5,"Fruit",15,128.180590065479,121.160093793743
6,"Fruit",15,125.959425837304,119.176551424392
7,"Fruit",15,140.265492626769,127.321635305975
8,"Fruit",15,145.906858892567,138.260187095506
9,"Fruit",15,135.616393603193,131.100018640051
10,"Fruit",15,148.676090135544,134.701140367446
1,"Veggie",5,135.502620412205,149.642435286086
2,"Veggie",5,127.638170257572,140.427285304241
3,"Veggie",5,133.816665944426,139.921087186034
4,"Veggie",5,126.076109072761,128.390069621375
5,"Veggie",5,121.160093793743,128.180590065479
6,"Veggie",5,119.176551424392,125.959425837304
7,"Veggie",5,127.321635305975,140.265492626769
8,"Veggie",5,138.260187095506,145.906858892567
9,"Veggie",5,131.100018640051,135.616393603193
10,"Veggie",5,134.701140367446,148.676090135544
