"t","condition","iv","dv","measure"
1,"Fruit",15,188.856698114561,"???"
2,"Fruit",15,210.134153083953,"???"
3,"Fruit",15,210.41565149412,"???"
4,"Fruit",15,182.985568018924,"???"
5,"Fruit",15,188.29895853491,"???"
6,"Fruit",15,204.855870096204,"???"
7,"Fruit",15,188.445597495824,"???"
8,"Fruit",15,206.635487049596,"???"
9,"Fruit",15,190.997895996358,"???"
10,"Fruit",15,170.814771085354,"???"
1,"Veggie",5,178.928134043157,"???"
2,"Veggie",5,185.575524820179,"???"
3,"Veggie",5,187.856736150853,"???"
4,"Veggie",5,173.433715098571,"???"
5,"Veggie",5,177.970390147235,"???"
6,"Veggie",5,194.9273060248,"???"
7,"Veggie",5,163.886969232049,"???"
8,"Veggie",5,184.076571706329,"???"
9,"Veggie",5,181.446043076006,"???"
10,"Veggie",5,160.486202697679,"???"
