"t","condition","iv","wdv","wdvb"
1,"Fruit",15,147.1293211265,140.205595010181
2,"Fruit",15,105.715429409185,100.982331076693
3,"Fruit",15,133.676134634123,120.667209768868
4,"Fruit",15,149.339106808701,151.003417857532
5,"Fruit",15,134.285943182935,131.882591452812
6,"Fruit",15,139.948530449725,115.303892034795
7,"Fruit",15,107.775357455328,102.379043342338
8,"Fruit",15,128.432554730414,106.20400124761
9,"Fruit",15,134.69741030817,129.277800342325
10,"Fruit",15,181.340074850218,168.567456393996
1,"Veggie",5,140.205595010181,147.1293211265
2,"Veggie",5,100.982331076693,105.715429409185
3,"Veggie",5,120.667209768868,133.676134634123
4,"Veggie",5,151.003417857532,149.339106808701
5,"Veggie",5,131.882591452812,134.285943182935
6,"Veggie",5,115.303892034795,139.948530449725
7,"Veggie",5,102.379043342338,107.775357455328
8,"Veggie",5,106.20400124761,128.432554730414
9,"Veggie",5,129.277800342325,134.69741030817
10,"Veggie",5,168.567456393996,181.340074850218
