"t","condition","iv","wdv","wdvb"
1,"Fruit",15,148.442759945602,137.854268419644
2,"Fruit",15,106.699564087313,107.384989221017
3,"Fruit",15,121.176152751405,102.603255864899
4,"Fruit",15,158.566877704739,144.983301817619
5,"Fruit",15,155.871208954949,143.489780031796
6,"Fruit",15,150.099076058393,147.732902262401
7,"Fruit",15,153.360838845393,146.263923164886
8,"Fruit",15,122.997905788479,128.180801101471
9,"Fruit",15,114.102684677282,111.076263932472
10,"Fruit",15,153.796038129662,133.102862712203
1,"Veggie",5,137.854268419644,148.442759945602
2,"Veggie",5,107.384989221017,106.699564087313
3,"Veggie",5,102.603255864899,121.176152751405
4,"Veggie",5,144.983301817619,158.566877704739
5,"Veggie",5,143.489780031796,155.871208954949
6,"Veggie",5,147.732902262401,150.099076058393
7,"Veggie",5,146.263923164886,153.360838845393
8,"Veggie",5,128.180801101471,122.997905788479
9,"Veggie",5,111.076263932472,114.102684677282
10,"Veggie",5,133.102862712203,153.796038129662
