"t","condition","iv","wdv","wdvb"
1,"Fruit",15,134.825354418808,123.272448721033
2,"Fruit",15,116.539415444793,112.951964320986
3,"Fruit",15,149.310979890987,130.057253881775
4,"Fruit",15,158.795044836556,150.876229677964
5,"Fruit",15,155.443030153672,143.25830669812
6,"Fruit",15,164.151944908746,149.873720184401
7,"Fruit",15,106.96709128978,110.673258084012
8,"Fruit",15,151.094022944644,135.536579964908
9,"Fruit",15,148.440741063375,142.35443880773
10,"Fruit",15,131.488001846667,119.987660544576
1,"Veggie",5,123.272448721033,134.825354418808
2,"Veggie",5,112.951964320986,116.539415444793
3,"Veggie",5,130.057253881775,149.310979890987
4,"Veggie",5,150.876229677964,158.795044836556
5,"Veggie",5,143.25830669812,155.443030153672
6,"Veggie",5,149.873720184401,164.151944908746
7,"Veggie",5,110.673258084012,106.96709128978
8,"Veggie",5,135.536579964908,151.094022944644
9,"Veggie",5,142.35443880773,148.440741063375
10,"Veggie",5,119.987660544576,131.488001846667
