"t","condition","iv","dv","dvb"
1,"Fruit",15,149.642435286086,119.176551424392
2,"Fruit",15,140.427285304241,133.816665944426
3,"Fruit",15,139.921087186034,138.260187095506
4,"Fruit",15,128.390069621375,126.076109072761
5,"Fruit",15,128.180590065479,135.502620412205
6,"Fruit",15,125.959425837304,121.160093793743
7,"Fruit",15,140.265492626769,127.321635305975
8,"Fruit",15,145.906858892567,131.100018640051
9,"Fruit",15,135.616393603193,134.701140367446
10,"Fruit",15,148.676090135544,127.638170257572
1,"Veggie",5,119.176551424392,149.642435286086
2,"Veggie",5,133.816665944426,140.427285304241
3,"Veggie",5,138.260187095506,139.921087186034
4,"Veggie",5,126.076109072761,128.390069621375
5,"Veggie",5,135.502620412205,128.180590065479
6,"Veggie",5,121.160093793743,125.959425837304
7,"Veggie",5,127.321635305975,140.265492626769
8,"Veggie",5,131.100018640051,145.906858892567
9,"Veggie",5,134.701140367446,135.616393603193
10,"Veggie",5,127.638170257572,148.676090135544
