"t","condition","iv","wdv","wdvb"
1,"Fruit",15,109.122948617545,97.781956316142
2,"Fruit",15,129.956224954411,118.790300177404
3,"Fruit",15,112.884696808613,103.791617021506
4,"Fruit",15,160.80641136499,136.730409755704
5,"Fruit",15,131.637402858014,129.29110794009
6,"Fruit",15,130.434186882245,122.168753551359
7,"Fruit",15,172.691775676878,169.878219014888
8,"Fruit",15,146.831531904914,127.447222595117
9,"Fruit",15,113.835232238094,112.865754962082
10,"Fruit",15,150.193039434828,133.050478728839
1,"Veggie",5,97.781956316142,109.122948617545
2,"Veggie",5,118.790300177404,129.956224954411
3,"Veggie",5,103.791617021506,112.884696808613
4,"Veggie",5,136.730409755704,160.80641136499
5,"Veggie",5,129.29110794009,131.637402858014
6,"Veggie",5,122.168753551359,130.434186882245
7,"Veggie",5,169.878219014888,172.691775676878
8,"Veggie",5,127.447222595117,146.831531904914
9,"Veggie",5,112.865754962082,113.835232238094
10,"Veggie",5,133.050478728839,150.193039434828
