"t","condition","iv","dv"
1,"Fruit",15,191.930421470278
2,"Fruit",15,184.576639240223
3,"Fruit",15,198.7998563744
4,"Fruit",15,179.93066552298
5,"Fruit",15,193.484170708838
6,"Fruit",15,188.550380212615
7,"Fruit",15,195.015084964244
8,"Fruit",15,219.508402286833
9,"Fruit",15,184.622148274736
10,"Fruit",15,181.373645969607
1,"Veggie",5,182.096977035792
2,"Veggie",5,167.64303035492
3,"Veggie",5,181.462237830126
4,"Veggie",5,162.149896870894
5,"Veggie",5,170.396302031527
6,"Veggie",5,178.716935778129
7,"Veggie",5,178.081476078941
8,"Veggie",5,202.170783742559
9,"Veggie",5,166.84137962265
10,"Veggie",5,158.285777292297
