"t","condition","iv","wdv","wdvb"
1,"Fruit",15,155.089117829973,136.059909030812
2,"Fruit",15,156.088399699282,150.021133738536
3,"Fruit",15,119.245591395903,109.928995200212
4,"Fruit",15,166.156280365749,150.717374999051
5,"Fruit",15,156.313421313364,144.552486816737
6,"Fruit",15,121.021496679532,119.763108573374
7,"Fruit",15,148.081594861049,134.93875572928
8,"Fruit",15,132.592077720281,124.748239450618
9,"Fruit",15,135.245485657951,113.424509365294
10,"Fruit",15,125.9920941741,130.119293923454
1,"Veggie",5,136.059909030812,155.089117829973
2,"Veggie",5,150.021133738536,156.088399699282
3,"Veggie",5,109.928995200212,119.245591395903
4,"Veggie",5,150.717374999051,166.156280365749
5,"Veggie",5,144.552486816737,156.313421313364
6,"Veggie",5,119.763108573374,121.021496679532
7,"Veggie",5,134.93875572928,148.081594861049
8,"Veggie",5,124.748239450618,132.592077720281
9,"Veggie",5,113.424509365294,135.245485657951
10,"Veggie",5,130.119293923454,125.9920941741
