"t","condition","iv","dv","dvb"
1,"Fruit",15,127.435432556283,132.844786611975
2,"Fruit",15,146.002416924139,121.859726249924
3,"Fruit",15,143.433278137933,112.472791539949
4,"Fruit",15,147.522412152318,138.024804700755
5,"Fruit",15,121.17430111622,135.140983229164
6,"Fruit",15,151.608380587875,139.117949213488
7,"Fruit",15,131.045688426455,138.905501243631
8,"Fruit",15,147.882172523592,132.618327869275
9,"Fruit",15,127.524901508923,124.498480764113
10,"Fruit",15,141.48412300948,127.188997106134
1,"Veggie",5,132.844786611975,127.435432556283
2,"Veggie",5,121.859726249924,146.002416924139
3,"Veggie",5,112.472791539949,143.433278137933
4,"Veggie",5,138.024804700755,147.522412152318
5,"Veggie",5,135.140983229164,121.17430111622
6,"Veggie",5,139.117949213488,151.608380587875
7,"Veggie",5,138.905501243631,131.045688426455
8,"Veggie",5,132.618327869275,147.882172523592
9,"Veggie",5,124.498480764113,127.524901508923
10,"Veggie",5,127.188997106134,141.48412300948
