"t","condition","iv","wdv","wdvb"
1,"Fruit",15,111.841902573122,98.2070405817067
2,"Fruit",15,156.511628576465,146.177431201104
3,"Fruit",15,160.358231496315,134.660588541357
4,"Fruit",15,156.382655676862,141.430693248866
5,"Fruit",15,134.527795754753,132.763282964881
6,"Fruit",15,140.752489123119,130.18995595431
7,"Fruit",15,125.524389587377,124.07001994671
8,"Fruit",15,120.778435900062,114.54188822862
9,"Fruit",15,139.414655700324,119.340388487064
10,"Fruit",15,143.225348589455,116.803338829391
1,"Veggie",5,98.2070405817067,111.841902573122
2,"Veggie",5,146.177431201104,156.511628576465
3,"Veggie",5,134.660588541357,160.358231496315
4,"Veggie",5,141.430693248866,156.382655676862
5,"Veggie",5,132.763282964881,134.527795754753
6,"Veggie",5,130.18995595431,140.752489123119
7,"Veggie",5,124.07001994671,125.524389587377
8,"Veggie",5,114.54188822862,120.778435900062
9,"Veggie",5,119.340388487064,139.414655700324
10,"Veggie",5,116.803338829391,143.225348589455
