"t","condition","iv","dv","measure"
1,"Fruit",15,180.70007403989,"???"
2,"Fruit",15,179.046222914572,"???"
3,"Fruit",15,167.244925197361,"???"
4,"Fruit",15,171.221006505874,"???"
5,"Fruit",15,196.026980175027,"???"
6,"Fruit",15,190.043611531182,"???"
7,"Fruit",15,196.355471944213,"???"
8,"Fruit",15,187.237237851094,"???"
9,"Fruit",15,195.170812151024,"???"
10,"Fruit",15,185.864653860691,"???"
11,"Veggie",5,190.499572028133,"???"
12,"Veggie",5,201.499462126312,"???"
13,"Veggie",5,189.97832458794,"???"
14,"Veggie",5,172.381055503094,"???"
15,"Veggie",5,166.525755688121,"???"
16,"Veggie",5,170.63885551113,"???"
17,"Veggie",5,181.803692191729,"???"
18,"Veggie",5,156.714355595831,"???"
19,"Veggie",5,190.706236343632,"???"
20,"Veggie",5,171.462287836537,"???"
