"t","condition","iv","wdv","wdvb"
1,"Fruit",15,129.101882315126,125.101644398078
2,"Fruit",15,159.741377603437,143.574283385092
3,"Fruit",15,136.817250144004,124.278557564008
4,"Fruit",15,123.3565726651,106.032997871577
5,"Fruit",15,140.970155383186,126.783296993507
6,"Fruit",15,162.640153321713,139.891746612766
7,"Fruit",15,129.565600009659,112.4705830684
8,"Fruit",15,131.254929521768,115.715486938207
9,"Fruit",15,167.269818368602,152.930721971347
10,"Fruit",15,163.08543370569,138.959726689137
1,"Veggie",5,125.101644398078,129.101882315126
2,"Veggie",5,143.574283385092,159.741377603437
3,"Veggie",5,124.278557564008,136.817250144004
4,"Veggie",5,106.032997871577,123.3565726651
5,"Veggie",5,126.783296993507,140.970155383186
6,"Veggie",5,139.891746612766,162.640153321713
7,"Veggie",5,112.4705830684,129.565600009659
8,"Veggie",5,115.715486938207,131.254929521768
9,"Veggie",5,152.930721971347,167.269818368602
10,"Veggie",5,138.959726689137,163.08543370569
