"t","condition","iv","dv","dvb"
1,"Fruit",15,141.529936854886,137.115918496259
2,"Fruit",15,141.810935277051,138.208954556277
3,"Fruit",15,132.138151286553,132.589757293372
4,"Fruit",15,146.542103082726,132.253489910186
5,"Fruit",15,137.173545622542,136.610614920106
6,"Fruit",15,125.957072655733,130.805868242385
7,"Fruit",15,143.697564313164,134.175095670442
8,"Fruit",15,137.038419424181,126.945886618553
9,"Fruit",15,160.760282564634,138.595046703861
10,"Fruit",15,113.69388660859,113.081636487758
1,"Veggie",5,137.115918496259,141.529936854886
2,"Veggie",5,138.208954556277,141.810935277051
3,"Veggie",5,132.589757293372,132.138151286553
4,"Veggie",5,132.253489910186,146.542103082726
5,"Veggie",5,136.610614920106,137.173545622542
6,"Veggie",5,130.805868242385,125.957072655733
7,"Veggie",5,134.175095670442,143.697564313164
8,"Veggie",5,126.945886618553,137.038419424181
9,"Veggie",5,138.595046703861,160.760282564634
10,"Veggie",5,113.081636487758,113.69388660859
