"t","condition","iv","dv","measure"
1,"Fruit",15,5.0982571255919,"???"
2,"Fruit",15,-2.86508203490645,"???"
3,"Fruit",15,15.9981573371602,"???"
4,"Fruit",15,11.6505704676119,"???"
5,"Fruit",15,8.83658470852352,"???"
6,"Fruit",15,15.0932531832674,"???"
7,"Fruit",15,13.1687979704234,"???"
8,"Fruit",15,9.72037143483889,"???"
9,"Fruit",15,5.52649614553663,"???"
10,"Fruit",15,15.0124801386425,"???"
11,"Veggie",5,27.1690342105902,"???"
12,"Veggie",5,23.3701090345224,"???"
13,"Veggie",5,26.1967291663351,"???"
14,"Veggie",5,9.0924072300921,"???"
15,"Veggie",5,26.0334148200053,"???"
16,"Veggie",5,19.1099358425612,"???"
17,"Veggie",5,19.5181298983023,"???"
18,"Veggie",5,22.6879415367528,"???"
19,"Veggie",5,29.8373904712929,"???"
20,"Veggie",5,32.5515319031734,"???"
