"t","condition","iv","dv","dvb"
1,"Fruit",15,129.795134330787,135.520300073179
2,"Fruit",15,153.010534091522,154.668625765823
3,"Fruit",15,136.574895121942,125.321065175255
4,"Fruit",15,132.493049628449,134.334385705327
5,"Fruit",15,152.822490474398,143.534915390602
6,"Fruit",15,126.906468221719,133.405595151323
7,"Fruit",15,149.109254595293,145.598416831163
8,"Fruit",15,130.389208216432,116.429292768142
9,"Fruit",15,131.049067778019,135.311945292054
10,"Fruit",15,151.543031328558,128.685254124579
1,"Veggie",5,135.520300073179,129.795134330787
2,"Veggie",5,154.668625765823,153.010534091522
3,"Veggie",5,125.321065175255,136.574895121942
4,"Veggie",5,134.334385705327,132.493049628449
5,"Veggie",5,143.534915390602,152.822490474398
6,"Veggie",5,133.405595151323,126.906468221719
7,"Veggie",5,145.598416831163,149.109254595293
8,"Veggie",5,116.429292768142,130.389208216432
9,"Veggie",5,135.311945292054,131.049067778019
10,"Veggie",5,128.685254124579,151.543031328558
