"t","condition","iv","wdv","wdvb"
1,"Fruit",15,157.494386014004,145.133586545784
2,"Fruit",15,135.390511207151,128.890060244062
3,"Fruit",15,122.614589895136,116.420067547118
4,"Fruit",15,151.84137949008,151.553681679413
5,"Fruit",15,119.352791646263,91.0162503710485
6,"Fruit",15,112.158906069262,108.502796150277
7,"Fruit",15,170.692507498292,159.234346676897
8,"Fruit",15,129.196049929713,121.970179670601
9,"Fruit",15,134.951201578944,142.529793072338
10,"Fruit",15,127.328666391771,105.051495158251
1,"Veggie",5,145.133586545784,157.494386014004
2,"Veggie",5,128.890060244062,135.390511207151
3,"Veggie",5,116.420067547118,122.614589895136
4,"Veggie",5,151.553681679413,151.84137949008
5,"Veggie",5,91.0162503710485,119.352791646263
6,"Veggie",5,108.502796150277,112.158906069262
7,"Veggie",5,159.234346676897,170.692507498292
8,"Veggie",5,121.970179670601,129.196049929713
9,"Veggie",5,142.529793072338,134.951201578944
10,"Veggie",5,105.051495158251,127.328666391771
