"t","condition","iv","dv","dvb"
1,"Fruit",15,142.020928493071,135.042272576156
2,"Fruit",15,141.697016591719,130.703413217453
3,"Fruit",15,156.339101737633,143.630637133226
4,"Fruit",15,128.633871301682,125.166594412235
5,"Fruit",15,153.640510409727,144.975933670197
6,"Fruit",15,144.247984006548,118.295647518888
7,"Fruit",15,138.873346098445,127.575962702797
8,"Fruit",15,137.442481586249,117.119343467246
9,"Fruit",15,123.795959069904,102.410605234991
10,"Fruit",15,139.405271061942,136.321906204801
1,"Veggie",5,135.042272576156,142.020928493071
2,"Veggie",5,130.703413217453,141.697016591719
3,"Veggie",5,143.630637133226,156.339101737633
4,"Veggie",5,125.166594412235,128.633871301682
5,"Veggie",5,144.975933670197,153.640510409727
6,"Veggie",5,118.295647518888,144.247984006548
7,"Veggie",5,127.575962702797,138.873346098445
8,"Veggie",5,117.119343467246,137.442481586249
9,"Veggie",5,102.410605234991,123.795959069904
10,"Veggie",5,136.321906204801,139.405271061942
