"t","condition","iv","dv","dvb"
1,"Fruit",15,143.542685418054,138.233540821048
2,"Fruit",15,130.460124446205,110.384879596857
3,"Fruit",15,140.233819442649,129.253265729595
4,"Fruit",15,149.865064108876,133.683129948712
5,"Fruit",15,133.202490640739,114.219318713679
6,"Fruit",15,137.422785988348,125.272217936606
7,"Fruit",15,138.518201581769,134.16042397233
8,"Fruit",15,131.982889274036,122.233714202769
9,"Fruit",15,127.200651031,118.789074728277
10,"Fruit",15,130.400139307228,118.672694853635
1,"Veggie",5,138.233540821048,143.542685418054
2,"Veggie",5,110.384879596857,130.460124446205
3,"Veggie",5,129.253265729595,140.233819442649
4,"Veggie",5,133.683129948712,149.865064108876
5,"Veggie",5,114.219318713679,133.202490640739
6,"Veggie",5,125.272217936606,137.422785988348
7,"Veggie",5,134.16042397233,138.518201581769
8,"Veggie",5,122.233714202769,131.982889274036
9,"Veggie",5,118.789074728277,127.200651031
10,"Veggie",5,118.672694853635,130.400139307228
