"t","condition","iv","wdv","wdvb"
1,"Fruit",15,122.877398106598,114.370600884472
2,"Fruit",15,129.732175724828,110.835682737289
3,"Fruit",15,140.318266403146,126.192114195914
4,"Fruit",15,146.438568881408,135.545071093657
5,"Fruit",15,144.055176093035,136.00333632411
6,"Fruit",15,150.872905098401,160.835644874299
7,"Fruit",15,155.808867710668,153.746207188613
8,"Fruit",15,137.148148299213,113.913621568828
9,"Fruit",15,157.827620037241,161.181551472783
10,"Fruit",15,120.791807818265,112.909386532642
1,"Veggie",5,114.370600884472,122.877398106598
2,"Veggie",5,110.835682737289,129.732175724828
3,"Veggie",5,126.192114195914,140.318266403146
4,"Veggie",5,135.545071093657,146.438568881408
5,"Veggie",5,136.00333632411,144.055176093035
6,"Veggie",5,160.835644874299,150.872905098401
7,"Veggie",5,153.746207188613,155.808867710668
8,"Veggie",5,113.913621568828,137.148148299213
9,"Veggie",5,161.181551472783,157.827620037241
10,"Veggie",5,112.909386532642,120.791807818265
