"t","condition","iv","dv","dvb"
1,"Fruit",15,131.694696191182,120.260426731082
2,"Fruit",15,133.887548839113,137.773993496699
3,"Fruit",15,136.734713217316,150.47688172355
4,"Fruit",15,147.699061925002,138.410270176853
5,"Fruit",15,140.149122888354,114.143239738781
6,"Fruit",15,122.682653946082,129.434189423574
7,"Fruit",15,139.147977655471,149.01101631328
8,"Fruit",15,138.065260657294,125.813363667424
9,"Fruit",15,127.349154235037,126.478956462514
10,"Fruit",15,148.386598400783,128.198749133884
1,"Veggie",5,120.260426731082,131.694696191182
2,"Veggie",5,137.773993496699,133.887548839113
3,"Veggie",5,150.47688172355,136.734713217316
4,"Veggie",5,138.410270176853,147.699061925002
5,"Veggie",5,114.143239738781,140.149122888354
6,"Veggie",5,129.434189423574,122.682653946082
7,"Veggie",5,149.01101631328,139.147977655471
8,"Veggie",5,125.813363667424,138.065260657294
9,"Veggie",5,126.478956462514,127.349154235037
10,"Veggie",5,128.198749133884,148.386598400783
