"t","condition","iv","dv","dvb"
1,"Fruit",15,195.917727107231,166.205176935777
2,"Fruit",15,181.880952581915,185.159085086799
3,"Fruit",15,175.802015149018,171.438762832771
4,"Fruit",15,196.77363767951,169.607536126298
5,"Fruit",15,195.644521619563,191.844590831054
6,"Fruit",15,209.638049361259,182.172518294091
7,"Fruit",15,180.484275052875,179.326225214202
8,"Fruit",15,173.79725079,182.724070184985
9,"Fruit",15,187.054948591605,167.601854464817
10,"Fruit",15,185.972449082599,180.719305825967
1,"Veggie",5,166.205176935777,195.917727107231
2,"Veggie",5,185.159085086799,181.880952581915
3,"Veggie",5,171.438762832771,175.802015149018
4,"Veggie",5,169.607536126298,196.77363767951
5,"Veggie",5,191.844590831054,195.644521619563
6,"Veggie",5,182.172518294091,209.638049361259
7,"Veggie",5,179.326225214202,180.484275052875
8,"Veggie",5,182.724070184985,173.79725079
9,"Veggie",5,167.601854464817,187.054948591605
10,"Veggie",5,180.719305825967,185.972449082599
