"t","condition","iv","wdv","wdvb"
1,"Fruit",15,128.431014001121,115.149640397699
2,"Fruit",15,119.422450197132,114.175946513286
3,"Fruit",15,157.290218541154,144.543954515552
4,"Fruit",15,176.49338664402,163.556270927767
5,"Fruit",15,138.214185510061,118.53607977632
6,"Fruit",15,131.221750912998,131.491326240569
7,"Fruit",15,157.442302743039,148.890741854343
8,"Fruit",15,131.441053252728,124.085441529678
9,"Fruit",15,162.960425626755,156.928144375985
10,"Fruit",15,120.978357964671,96.5429464793253
1,"Veggie",5,115.149640397699,128.431014001121
2,"Veggie",5,114.175946513286,119.422450197132
3,"Veggie",5,144.543954515552,157.290218541154
4,"Veggie",5,163.556270927767,176.49338664402
5,"Veggie",5,118.53607977632,138.214185510061
6,"Veggie",5,131.491326240569,131.221750912998
7,"Veggie",5,148.890741854343,157.442302743039
8,"Veggie",5,124.085441529678,131.441053252728
9,"Veggie",5,156.928144375985,162.960425626755
10,"Veggie",5,96.5429464793253,120.978357964671
