"t","condition","iv","wdv","wdvb"
1,"Fruit",15,125.44883258027,106.336807402049
2,"Fruit",15,145.485993451521,149.01510596148
3,"Fruit",15,136.990036481943,117.613012202842
4,"Fruit",15,149.108975295111,146.609387238688
5,"Fruit",15,138.86758340926,123.220719585933
6,"Fruit",15,121.662201368272,110.085091362395
7,"Fruit",15,132.150359483945,121.246171529703
8,"Fruit",15,135.568213437123,111.112376160071
9,"Fruit",15,172.553113011463,147.331658058781
10,"Fruit",15,130.296984413256,118.110363367904
1,"Veggie",5,106.336807402049,125.44883258027
2,"Veggie",5,149.01510596148,145.485993451521
3,"Veggie",5,117.613012202842,136.990036481943
4,"Veggie",5,146.609387238688,149.108975295111
5,"Veggie",5,123.220719585933,138.86758340926
6,"Veggie",5,110.085091362395,121.662201368272
7,"Veggie",5,121.246171529703,132.150359483945
8,"Veggie",5,111.112376160071,135.568213437123
9,"Veggie",5,147.331658058781,172.553113011463
10,"Veggie",5,118.110363367904,130.296984413256
