"t","condition","iv","wdv","wdvb"
1,"Fruit",15,139.509041340879,121.694127898094
2,"Fruit",15,146.670983946345,137.985373170485
3,"Fruit",15,132.561743847536,120.291425931782
4,"Fruit",15,105.339324495451,110.197225470316
5,"Fruit",15,127.80718062123,115.600344701764
6,"Fruit",15,152.692404235816,139.547827990936
7,"Fruit",15,143.635896847582,137.313098004547
8,"Fruit",15,155.823542711056,139.128273598162
9,"Fruit",15,130.616407860907,113.301421455998
10,"Fruit",15,141.286654109285,136.980791482571
1,"Veggie",5,121.694127898094,139.509041340879
2,"Veggie",5,137.985373170485,146.670983946345
3,"Veggie",5,120.291425931782,132.561743847536
4,"Veggie",5,110.197225470316,105.339324495451
5,"Veggie",5,115.600344701764,127.80718062123
6,"Veggie",5,139.547827990936,152.692404235816
7,"Veggie",5,137.313098004547,143.635896847582
8,"Veggie",5,139.128273598162,155.823542711056
9,"Veggie",5,113.301421455998,130.616407860907
10,"Veggie",5,136.980791482571,141.286654109285
