"t","condition","iv","dv","measure"
1,"Fruit",15,200.261683592115,"???"
2,"Fruit",15,205.006994818178,"???"
3,"Fruit",15,204.697715450415,"???"
4,"Fruit",15,190.718164475324,"???"
5,"Fruit",15,177.786116543067,"???"
6,"Fruit",15,185.269151140891,"???"
7,"Fruit",15,197.0249502913,"???"
8,"Fruit",15,195.131228797746,"???"
9,"Fruit",15,182.767902890699,"???"
10,"Fruit",15,196.341318081399,"???"
11,"Veggie",5,170.38920738772,"???"
12,"Veggie",5,161.44582692304,"???"
13,"Veggie",5,178.946574817936,"???"
14,"Veggie",5,177.478762754827,"???"
15,"Veggie",5,180.165504064201,"???"
16,"Veggie",5,198.310545312158,"???"
17,"Veggie",5,186.75092744424,"???"
18,"Veggie",5,181.305761422564,"???"
19,"Veggie",5,188.34254469934,"???"
20,"Veggie",5,189.086726017155,"???"
