"t","condition","iv","dv","dvb"
1,"Fruit",15,139.010627738358,115.444087240204
2,"Fruit",15,128.998643132254,137.173172949156
3,"Fruit",15,145.200634581469,112.179631682872
4,"Fruit",15,137.556358839674,140.282911303239
5,"Fruit",15,127.49127377749,136.373202932678
6,"Fruit",15,134.096706054985,130.195653674802
7,"Fruit",15,147.042999867906,146.082296722779
8,"Fruit",15,152.467012637525,131.671871520031
9,"Fruit",15,145.034096592933,142.155887071037
10,"Fruit",15,132.773092657518,122.365645757338
1,"Veggie",5,115.444087240204,139.010627738358
2,"Veggie",5,137.173172949156,128.998643132254
3,"Veggie",5,112.179631682872,145.200634581469
4,"Veggie",5,140.282911303239,137.556358839674
5,"Veggie",5,136.373202932678,127.49127377749
6,"Veggie",5,130.195653674802,134.096706054985
7,"Veggie",5,146.082296722779,147.042999867906
8,"Veggie",5,131.671871520031,152.467012637525
9,"Veggie",5,142.155887071037,145.034096592933
10,"Veggie",5,122.365645757338,132.773092657518
