"t","condition","iv","wdv","wdvb"
1,"Fruit",15,147.819602040065,141.268030196009
2,"Fruit",15,158.129333814383,140.786163189021
3,"Fruit",15,145.494940121029,122.18247083406
4,"Fruit",15,161.751880911156,149.530193073589
5,"Fruit",15,140.851789888813,143.461879862429
6,"Fruit",15,126.606510646669,112.693804723636
7,"Fruit",15,101.975322613123,96.3339316508559
8,"Fruit",15,131.21920005535,112.377467913143
9,"Fruit",15,148.320774005455,129.06225734298
10,"Fruit",15,133.072338305762,114.77373579707
1,"Veggie",5,141.268030196009,147.819602040065
2,"Veggie",5,140.786163189021,158.129333814383
3,"Veggie",5,122.18247083406,145.494940121029
4,"Veggie",5,149.530193073589,161.751880911156
5,"Veggie",5,143.461879862429,140.851789888813
6,"Veggie",5,112.693804723636,126.606510646669
7,"Veggie",5,96.3339316508559,101.975322613123
8,"Veggie",5,112.377467913143,131.21920005535
9,"Veggie",5,129.06225734298,148.320774005455
10,"Veggie",5,114.77373579707,133.072338305762
