"t","condition","iv","dv","dvb"
1,"Fruit",15,130.459878338154,120.852716777224
2,"Fruit",15,153.218766175155,142.525073795384
3,"Fruit",15,148.986775929904,134.551871745837
4,"Fruit",15,152.545188844128,133.155992397918
5,"Fruit",15,153.01010606112,131.833505606476
6,"Fruit",15,133.056527541498,136.313290729727
7,"Fruit",15,152.215349441797,135.539851286449
8,"Fruit",15,131.05601491059,121.953997829146
9,"Fruit",15,141.609316279024,127.975922000043
10,"Fruit",15,143.256500654602,142.359041496092
1,"Veggie",5,120.852716777224,130.459878338154
2,"Veggie",5,142.525073795384,153.218766175155
3,"Veggie",5,134.551871745837,148.986775929904
4,"Veggie",5,133.155992397918,152.545188844128
5,"Veggie",5,131.833505606476,153.01010606112
6,"Veggie",5,136.313290729727,133.056527541498
7,"Veggie",5,135.539851286449,152.215349441797
8,"Veggie",5,121.953997829146,131.05601491059
9,"Veggie",5,127.975922000043,141.609316279024
10,"Veggie",5,142.359041496092,143.256500654602
