"t","condition","iv","dv","dvb"
1,"Fruit",15,137.219860699205,141.424922631739
2,"Fruit",15,154.776800612464,146.563345566971
3,"Fruit",15,139.22199950723,125.622105367272
4,"Fruit",15,130.038913987576,133.744412309108
5,"Fruit",15,113.709512555844,114.356399348469
6,"Fruit",15,143.414353920125,146.099321323969
7,"Fruit",15,137.46822055836,127.933345441186
8,"Fruit",15,127.074021007949,120.441921877432
9,"Fruit",15,135.395028709848,125.436201147486
10,"Fruit",15,133.014061502646,128.912289296493
1,"Veggie",5,141.424922631739,137.219860699205
2,"Veggie",5,146.563345566971,154.776800612464
3,"Veggie",5,125.622105367272,139.22199950723
4,"Veggie",5,133.744412309108,130.038913987576
5,"Veggie",5,114.356399348469,113.709512555844
6,"Veggie",5,146.099321323969,143.414353920125
7,"Veggie",5,127.933345441186,137.46822055836
8,"Veggie",5,120.441921877432,127.074021007949
9,"Veggie",5,125.436201147486,135.395028709848
10,"Veggie",5,128.912289296493,133.014061502646
