"t","condition","iv","wdv","wdvb"
1,"Fruit",15,128.990408404771,120.487256070127
2,"Fruit",15,136.086609065044,114.9669428406
3,"Fruit",15,129.699918299968,137.42957756179
4,"Fruit",15,151.507536307285,142.682181293882
5,"Fruit",15,119.386117892228,105.140969169372
6,"Fruit",15,128.377966971023,114.991755428146
7,"Fruit",15,159.17833459755,147.503062259682
8,"Fruit",15,111.050004018692,95.9287911548746
9,"Fruit",15,153.697957879338,140.556352614313
10,"Fruit",15,136.278937322336,132.583502249754
1,"Veggie",5,120.487256070127,128.990408404771
2,"Veggie",5,114.9669428406,136.086609065044
3,"Veggie",5,137.42957756179,129.699918299968
4,"Veggie",5,142.682181293882,151.507536307285
5,"Veggie",5,105.140969169372,119.386117892228
6,"Veggie",5,114.991755428146,128.377966971023
7,"Veggie",5,147.503062259682,159.17833459755
8,"Veggie",5,95.9287911548746,111.050004018692
9,"Veggie",5,140.556352614313,153.697957879338
10,"Veggie",5,132.583502249754,136.278937322336
