"t","condition","iv","wdv","wdvb"
1,"Fruit",15,134.684065991568,124.460657640676
2,"Fruit",15,157.528138614558,153.493769719202
3,"Fruit",15,135.79919498749,130.108188988583
4,"Fruit",15,142.800105522911,129.384507287664
5,"Fruit",15,128.402197176137,109.540996831074
6,"Fruit",15,98.0821448117934,103.172641720207
7,"Fruit",15,143.145280498337,132.82052289929
8,"Fruit",15,142.332032617811,120.249595418675
9,"Fruit",15,103.691954572228,103.935504199796
10,"Fruit",15,170.399341044654,156.761179623588
1,"Veggie",5,124.460657640676,134.684065991568
2,"Veggie",5,153.493769719202,157.528138614558
3,"Veggie",5,130.108188988583,135.79919498749
4,"Veggie",5,129.384507287664,142.800105522911
5,"Veggie",5,109.540996831074,128.402197176137
6,"Veggie",5,103.172641720207,98.0821448117934
7,"Veggie",5,132.82052289929,143.145280498337
8,"Veggie",5,120.249595418675,142.332032617811
9,"Veggie",5,103.935504199796,103.691954572228
10,"Veggie",5,156.761179623588,170.399341044654
