"t","condition","iv","wdv","wdvb"
1,"Fruit",15,114.663837775422,107.470886907934
2,"Fruit",15,124.240944450017,111.823961413067
3,"Fruit",15,143.689978832816,131.233740165754
4,"Fruit",15,143.144161170183,115.270954610594
5,"Fruit",15,157.50242105228,139.096541919665
6,"Fruit",15,163.522490244069,145.218578008105
7,"Fruit",15,150.525906381373,147.903590226758
8,"Fruit",15,140.483886448273,146.434471975937
9,"Fruit",15,116.584908397428,109.884175247016
10,"Fruit",15,136.015331580636,124.123372770708
1,"Veggie",5,107.470886907934,114.663837775422
2,"Veggie",5,111.823961413067,124.240944450017
3,"Veggie",5,131.233740165754,143.689978832816
4,"Veggie",5,115.270954610594,143.144161170183
5,"Veggie",5,139.096541919665,157.50242105228
6,"Veggie",5,145.218578008105,163.522490244069
7,"Veggie",5,147.903590226758,150.525906381373
8,"Veggie",5,146.434471975937,140.483886448273
9,"Veggie",5,109.884175247016,116.584908397428
10,"Veggie",5,124.123372770708,136.015331580636
