"t","condition","iv","wdv","wdvb"
1,"Fruit",15,142.865411843647,127.430728777005
2,"Fruit",15,139.266381777274,133.202755764883
3,"Fruit",15,129.522133473819,120.691174339862
4,"Fruit",15,155.119957909571,148.59750727559
5,"Fruit",15,97.1725539321935,83.2125340252083
6,"Fruit",15,176.05646628852,158.398105928014
7,"Fruit",15,106.88330244985,90.6490309573165
8,"Fruit",15,150.025862452415,141.491266424752
9,"Fruit",15,133.549615452572,127.330604476656
10,"Fruit",15,166.145721840417,160.109703172741
1,"Veggie",5,127.430728777005,142.865411843647
2,"Veggie",5,133.202755764883,139.266381777274
3,"Veggie",5,120.691174339862,129.522133473819
4,"Veggie",5,148.59750727559,155.119957909571
5,"Veggie",5,83.2125340252083,97.1725539321935
6,"Veggie",5,158.398105928014,176.05646628852
7,"Veggie",5,90.6490309573165,106.88330244985
8,"Veggie",5,141.491266424752,150.025862452415
9,"Veggie",5,127.330604476656,133.549615452572
10,"Veggie",5,160.109703172741,166.145721840417
