"t","condition","iv","wdv","wdvb"
1,"Fruit",15,151.494100177389,131.386380297566
2,"Fruit",15,138.779238277643,135.545477539808
3,"Fruit",15,167.092458874092,168.474255447449
4,"Fruit",15,75.0967156111912,65.4973239105991
5,"Fruit",15,135.703289544413,131.502957209587
6,"Fruit",15,147.380563848994,131.542271940907
7,"Fruit",15,131.04251286711,125.793077527084
8,"Fruit",15,115.97397257456,111.756435651772
9,"Fruit",15,148.93674122709,132.847510287371
10,"Fruit",15,164.720308797064,151.628705453545
1,"Veggie",5,131.386380297566,151.494100177389
2,"Veggie",5,135.545477539808,138.779238277643
3,"Veggie",5,168.474255447449,167.092458874092
4,"Veggie",5,65.4973239105991,75.0967156111912
5,"Veggie",5,131.502957209587,135.703289544413
6,"Veggie",5,131.542271940907,147.380563848994
7,"Veggie",5,125.793077527084,131.04251286711
8,"Veggie",5,111.756435651772,115.97397257456
9,"Veggie",5,132.847510287371,148.93674122709
10,"Veggie",5,151.628705453545,164.720308797064
