"t","condition","iv","dv","dvb"
1,"Fruit",15,130.568192774056,122.479887501902
2,"Fruit",15,148.468848243823,128.424779414799
3,"Fruit",15,141.998589509662,129.945588300143
4,"Fruit",15,149.787923101916,136.444575612099
5,"Fruit",15,127.296027960181,134.361811698016
6,"Fruit",15,146.95867678949,112.389032070708
7,"Fruit",15,134.502068366217,136.110586007159
8,"Fruit",15,137.686374423173,119.085832627934
9,"Fruit",15,127.793831463223,129.6732709173
10,"Fruit",15,135.341554468718,128.23609464124
1,"Veggie",5,122.479887501902,130.568192774056
2,"Veggie",5,128.424779414799,148.468848243823
3,"Veggie",5,129.945588300143,141.998589509662
4,"Veggie",5,136.444575612099,149.787923101916
5,"Veggie",5,134.361811698016,127.296027960181
6,"Veggie",5,112.389032070708,146.95867678949
7,"Veggie",5,136.110586007159,134.502068366217
8,"Veggie",5,119.085832627934,137.686374423173
9,"Veggie",5,129.6732709173,127.793831463223
10,"Veggie",5,128.23609464124,135.341554468718
