"t","condition","iv","dv","dvb"
1,"Fruit",15,137.581948060105,131.209764945996
2,"Fruit",15,152.727471797646,131.394159015589
3,"Fruit",15,136.327645380787,121.381437065022
4,"Fruit",15,133.231510416295,135.01968028368
5,"Fruit",15,122.841396884958,141.53621313413
6,"Fruit",15,146.412246497951,122.850448673386
7,"Fruit",15,146.081917751168,120.571687261245
8,"Fruit",15,141.30373210979,134.906174964737
9,"Fruit",15,135.981134515129,125.675187218438
10,"Fruit",15,122.060480863148,113.109510450864
1,"Veggie",5,131.209764945996,137.581948060105
2,"Veggie",5,131.394159015589,152.727471797646
3,"Veggie",5,121.381437065022,136.327645380787
4,"Veggie",5,135.01968028368,133.231510416295
5,"Veggie",5,141.53621313413,122.841396884958
6,"Veggie",5,122.850448673386,146.412246497951
7,"Veggie",5,120.571687261245,146.081917751168
8,"Veggie",5,134.906174964737,141.30373210979
9,"Veggie",5,125.675187218438,135.981134515129
10,"Veggie",5,113.109510450864,122.060480863148
