"t","condition","iv","dv","dvb"
1,"Fruit",15,129.773343449072,115.867548340661
2,"Fruit",15,153.150019499576,138.047214872075
3,"Fruit",15,147.039243500858,131.704628853912
4,"Fruit",15,143.265578854889,135.517372397084
5,"Fruit",15,143.675211439423,139.938520391576
6,"Fruit",15,139.964987963619,125.807474033818
7,"Fruit",15,149.157985956374,131.682643186001
8,"Fruit",15,135.506039435628,130.082166923591
9,"Fruit",15,142.891428923886,131.360827105919
10,"Fruit",15,129.496023565913,117.275495115455
1,"Veggie",5,115.867548340661,129.773343449072
2,"Veggie",5,138.047214872075,153.150019499576
3,"Veggie",5,131.704628853912,147.039243500858
4,"Veggie",5,135.517372397084,143.265578854889
5,"Veggie",5,139.938520391576,143.675211439423
6,"Veggie",5,125.807474033818,139.964987963619
7,"Veggie",5,131.682643186001,149.157985956374
8,"Veggie",5,130.082166923591,135.506039435628
9,"Veggie",5,131.360827105919,142.891428923886
10,"Veggie",5,117.275495115455,129.496023565913
