"t","condition","iv","dv","dvb"
1,"Fruit",15,180.078052141746,166.404868584969
2,"Fruit",15,192.090058519012,184.804024755847
3,"Fruit",15,183.578347387282,163.771182553457
4,"Fruit",15,188.579946244894,190.032403042665
5,"Fruit",15,193.652006432471,175.638993945114
6,"Fruit",15,207.898122508144,194.224938951366
7,"Fruit",15,196.719220352931,182.91544672923
8,"Fruit",15,183.764841734998,171.595533783845
9,"Fruit",15,202.973355342445,184.990519103562
10,"Fruit",15,182.332093487086,168.400344387376
1,"Veggie",5,166.404868584969,180.078052141746
2,"Veggie",5,184.804024755847,192.090058519012
3,"Veggie",5,163.771182553457,183.578347387282
4,"Veggie",5,190.032403042665,188.579946244894
5,"Veggie",5,175.638993945114,193.652006432471
6,"Veggie",5,194.224938951366,207.898122508144
7,"Veggie",5,182.91544672923,196.719220352931
8,"Veggie",5,171.595533783845,183.764841734998
9,"Veggie",5,184.990519103562,202.973355342445
10,"Veggie",5,168.400344387376,182.332093487086
