"t","condition","iv","dv","dvb"
1,"Fruit",15,148.461948997878,132.039054084228
2,"Fruit",15,143.104452474704,139.393633610538
3,"Fruit",15,153.212935195024,145.599434674274
4,"Fruit",15,132.924058858237,124.388273166195
5,"Fruit",15,132.26969443568,121.162931866984
6,"Fruit",15,123.240165140862,134.852792816991
7,"Fruit",15,133.209260276447,122.317831699348
8,"Fruit",15,138.057854868602,129.872730424173
9,"Fruit",15,160.802267231469,154.327994051714
10,"Fruit",15,131.975687046114,123.003483068501
1,"Veggie",5,132.039054084228,148.461948997878
2,"Veggie",5,139.393633610538,143.104452474704
3,"Veggie",5,145.599434674274,153.212935195024
4,"Veggie",5,124.388273166195,132.924058858237
5,"Veggie",5,121.162931866984,132.26969443568
6,"Veggie",5,134.852792816991,123.240165140862
7,"Veggie",5,122.317831699348,133.209260276447
8,"Veggie",5,129.872730424173,138.057854868602
9,"Veggie",5,154.327994051714,160.802267231469
10,"Veggie",5,123.003483068501,131.975687046114
