"t","condition","iv","dv","dvb"
1,"Fruit",15,132.720139554198,124.216987219554
2,"Fruit",15,142.0644453152,120.944779090756
3,"Fruit",15,129.16255641801,136.892215679832
4,"Fruit",15,143.80011363225,134.974758618847
5,"Fruit",15,128.546845598391,114.301696875535
6,"Fruit",15,132.990769321529,119.604557778652
7,"Fruit",15,145.978628239921,134.303355902054
8,"Fruit",15,121.40961023204,106.288397368223
9,"Fruit",15,143.746981290536,130.605376025511
10,"Fruit",15,133.833701156159,130.138266083578
1,"Veggie",5,124.216987219554,132.720139554198
2,"Veggie",5,120.944779090756,142.0644453152
3,"Veggie",5,136.892215679832,129.16255641801
4,"Veggie",5,134.974758618847,143.80011363225
5,"Veggie",5,114.301696875535,128.546845598391
6,"Veggie",5,119.604557778652,132.990769321529
7,"Veggie",5,134.303355902054,145.978628239921
8,"Veggie",5,106.288397368223,121.40961023204
9,"Veggie",5,130.605376025511,143.746981290536
10,"Veggie",5,130.138266083578,133.833701156159
