"t","condition","iv","dv","dvb"
1,"Fruit",15,147.987725407872,147.519598529711
2,"Fruit",15,156.739463219075,145.841042711658
3,"Fruit",15,155.64727283979,135.349684205654
4,"Fruit",15,138.116195603381,127.671912519302
5,"Fruit",15,112.553274339961,111.897890909384
6,"Fruit",15,130.844401489446,125.285900249973
7,"Fruit",15,132.288619990915,120.123039283147
8,"Fruit",15,122.582642580396,108.131961090359
9,"Fruit",15,126.229037065811,128.766055529318
10,"Fruit",15,138.362357248243,131.718662567598
1,"Veggie",5,147.519598529711,147.987725407872
2,"Veggie",5,145.841042711658,156.739463219075
3,"Veggie",5,135.349684205654,155.64727283979
4,"Veggie",5,127.671912519302,138.116195603381
5,"Veggie",5,111.897890909384,112.553274339961
6,"Veggie",5,125.285900249973,130.844401489446
7,"Veggie",5,120.123039283147,132.288619990915
8,"Veggie",5,108.131961090359,122.582642580396
9,"Veggie",5,128.766055529318,126.229037065811
10,"Veggie",5,131.718662567598,138.362357248243
