"t","condition","iv","wdv","wdvb"
1,"Fruit",15,138.559623265677,132.187440151567
2,"Fruit",15,136.447045755209,131.860070255669
3,"Fruit",15,132.102595811218,120.252522459945
4,"Fruit",15,145.9374041233,139.65335229719
5,"Fruit",15,162.749953702199,151.558695038683
6,"Fruit",15,137.176860464187,123.699663756785
7,"Fruit",15,110.735607488742,108.465897865029
8,"Fruit",15,152.721061484712,141.214989951498
9,"Fruit",15,153.81957872355,133.41284819082
10,"Fruit",15,104.299753458184,95.3487830459
1,"Veggie",5,132.187440151567,138.559623265677
2,"Veggie",5,131.860070255669,136.447045755209
3,"Veggie",5,120.252522459945,132.102595811218
4,"Veggie",5,139.65335229719,145.9374041233
5,"Veggie",5,151.558695038683,162.749953702199
6,"Veggie",5,123.699663756785,137.176860464187
7,"Veggie",5,108.465897865029,110.735607488742
8,"Veggie",5,141.214989951498,152.721061484712
9,"Veggie",5,133.41284819082,153.81957872355
10,"Veggie",5,95.3487830459,104.299753458184
