"t","condition","iv","dv","dvb"
1,"Fruit",15,140.985259813027,126.965023760921
2,"Fruit",15,141.965130523896,122.461930389564
3,"Fruit",15,138.671087989118,128.991018731864
4,"Fruit",15,140.222193673982,129.69515770259
5,"Fruit",15,134.503739824654,126.73993569446
6,"Fruit",15,139.034670236659,135.979041057288
7,"Fruit",15,130.298209136011,133.613489602203
8,"Fruit",15,145.546470565244,131.388716619109
9,"Fruit",15,166.404490070915,157.766882465784
10,"Fruit",15,148.689968761768,139.699242532438
1,"Veggie",5,126.965023760921,140.985259813027
2,"Veggie",5,122.461930389564,141.965130523896
3,"Veggie",5,128.991018731864,138.671087989118
4,"Veggie",5,129.69515770259,140.222193673982
5,"Veggie",5,126.73993569446,134.503739824654
6,"Veggie",5,135.979041057288,139.034670236659
7,"Veggie",5,133.613489602203,130.298209136011
8,"Veggie",5,131.388716619109,145.546470565244
9,"Veggie",5,157.766882465784,166.404490070915
10,"Veggie",5,139.699242532438,148.689968761768
