"t","condition","iv","wdv","wdvb"
1,"Fruit",15,135.208786630111,121.188550578006
2,"Fruit",15,140.024940708299,120.521740573967
3,"Fruit",15,130.666776561065,120.986707303811
4,"Fruit",15,138.198919458445,127.671883487053
5,"Fruit",15,130.770469137833,123.006665007639
6,"Fruit",15,137.096890409099,134.041261229727
7,"Fruit",15,133.871254423147,137.186534889339
8,"Fruit",15,147.910325809938,133.752571863803
9,"Fruit",15,181.675853438896,173.038245833766
10,"Fruit",15,150.89700401844,141.90627778911
1,"Veggie",5,121.188550578006,135.208786630111
2,"Veggie",5,120.521740573967,140.024940708299
3,"Veggie",5,120.986707303811,130.666776561065
4,"Veggie",5,127.671883487053,138.198919458445
5,"Veggie",5,123.006665007639,130.770469137833
6,"Veggie",5,134.041261229727,137.096890409099
7,"Veggie",5,137.186534889339,133.871254423147
8,"Veggie",5,133.752571863803,147.910325809938
9,"Veggie",5,173.038245833766,181.675853438896
10,"Veggie",5,141.90627778911,150.89700401844
