"t","condition","iv","wdv","wdvb"
1,"Fruit",15,140.115049314506,133.81888457435
2,"Fruit",15,153.747879479833,154.093482334463
3,"Fruit",15,110.529618492721,108.67574932119
4,"Fruit",15,173.389212837915,164.231020196548
5,"Fruit",15,186.449165177466,160.6312092693
6,"Fruit",15,115.968208083116,105.934047545421
7,"Fruit",15,131.443132097915,108.44424900534
8,"Fruit",15,123.528789965158,115.758565583052
9,"Fruit",15,139.561513842413,135.544901289123
10,"Fruit",15,128.056318541018,125.603027102538
1,"Veggie",5,133.81888457435,140.115049314506
2,"Veggie",5,154.093482334463,153.747879479833
3,"Veggie",5,108.67574932119,110.529618492721
4,"Veggie",5,164.231020196548,173.389212837915
5,"Veggie",5,160.6312092693,186.449165177466
6,"Veggie",5,105.934047545421,115.968208083116
7,"Veggie",5,108.44424900534,131.443132097915
8,"Veggie",5,115.758565583052,123.528789965158
9,"Veggie",5,135.544901289123,139.561513842413
10,"Veggie",5,125.603027102538,128.056318541018
