"t","condition","iv","wdv","wdvb"
1,"Fruit",15,137.23771448349,112.06569596787
2,"Fruit",15,157.634102835787,139.917957207937
3,"Fruit",15,151.763223469637,152.054364219239
4,"Fruit",15,107.864420507894,98.7356603581603
5,"Fruit",15,125.621192717324,111.106143006839
6,"Fruit",15,130.96683539805,119.653409034313
7,"Fruit",15,154.089730499899,135.26693017828
8,"Fruit",15,119.525441250221,124.775769647688
9,"Fruit",15,146.206431269625,150.346575425622
10,"Fruit",15,148.012397969583,142.183892199186
1,"Veggie",5,112.06569596787,137.23771448349
2,"Veggie",5,139.917957207937,157.634102835787
3,"Veggie",5,152.054364219239,151.763223469637
4,"Veggie",5,98.7356603581603,107.864420507894
5,"Veggie",5,111.106143006839,125.621192717324
6,"Veggie",5,119.653409034313,130.96683539805
7,"Veggie",5,135.26693017828,154.089730499899
8,"Veggie",5,124.775769647688,119.525441250221
9,"Veggie",5,150.346575425622,146.206431269625
10,"Veggie",5,142.183892199186,148.012397969583
