"t","condition","iv","dv","dvb"
1,"Fruit",15,135.311667971016,129.50106469941
2,"Fruit",15,155.671436994908,137.357539466089
3,"Fruit",15,123.498961432619,137.813523786315
4,"Fruit",15,138.000005114945,134.158600977342
5,"Fruit",15,133.32825343595,134.016856372084
6,"Fruit",15,141.040078697451,131.14033527538
7,"Fruit",15,151.708280716348,129.950855884846
8,"Fruit",15,139.132157101849,132.75915730769
9,"Fruit",15,157.97729875046,134.249622144224
10,"Fruit",15,132.438326572066,123.331018613764
1,"Veggie",5,129.50106469941,135.311667971016
2,"Veggie",5,137.357539466089,155.671436994908
3,"Veggie",5,137.813523786315,123.498961432619
4,"Veggie",5,134.158600977342,138.000005114945
5,"Veggie",5,134.016856372084,133.32825343595
6,"Veggie",5,131.14033527538,141.040078697451
7,"Veggie",5,129.950855884846,151.708280716348
8,"Veggie",5,132.75915730769,139.132157101849
9,"Veggie",5,134.249622144224,157.97729875046
10,"Veggie",5,123.331018613764,132.438326572066
